gu_code,법정동명,폐지여부
47113,경상북도 포항시 북구,존재
47130,경상북도 경주시,존재
47150,경상북도 김천시,존재
47170,경상북도 안동시,존재
47190,경상북도 구미시,존재
47210,경상북도 영주시,존재
47230,경상북도 영천시,존재
47250,경상북도 상주시,존재
47280,경상북도 문경시,존재
47290,경상북도 경산시,존재
47720,경상북도 군위군,존재
47730,경상북도 의성군,존재
47750,경상북도 청송군,존재
47760,경상북도 영양군,존재
47770,경상북도 영덕군,존재
47820,경상북도 청도군,존재
47830,경상북도 고령군,존재
47840,경상북도 성주군,존재
47850,경상북도 칠곡군,존재
47900,경상북도 예천군,존재
47920,경상북도 봉화군,존재
47930,경상북도 울진군,존재
47940,경상북도 울릉군,존재
48121,경상남도 창원시 의창구,존재
48123,경상남도 창원시 성산구,존재
48125,경상남도 창원시 마산합포구,존재
48127,경상남도 창원시 마산회원구,존재
48129,경상남도 창원시 진해구,존재
48170,경상남도 진주시,존재
48220,경상남도 통영시,존재
48240,경상남도 사천시,존재
48250,경상남도 김해시,존재
48270,경상남도 밀양시,존재
48310,경상남도 거제시,존재
48330,경상남도 양산시,존재
48720,경상남도 의령군,존재
48730,경상남도 함안군,존재
48740,경상남도 창녕군,존재
48820,경상남도 고성군,존재
48840,경상남도 남해군,존재
48850,경상남도 하동군,존재
48860,경상남도 산청군,존재
48870,경상남도 함양군,존재
48880,경상남도 거창군,존재
48890,경상남도 합천군,존재
50110,제주특별자치도 제주시,존재
50130,제주특별자치도 서귀포시,존재
